L,N,realization_seed,walk_index,first_passage_time
16,4096,68,28,5588
16,4096,68,29,28871
16,4096,68,30,13155
16,4096,68,31,2761
16,4096,68,32,14053
16,4096,68,33,391
16,4096,68,34,205
16,4096,69,0,6241
16,4096,69,1,14927
16,4096,69,2,14190
16,4096,69,3,4099
16,4096,69,4,11357
16,4096,69,5,7597
16,4096,69,6,9833
16,4096,69,7,8419
16,4096,69,8,15065
16,4096,69,9,389
16,4096,69,10,8592
16,4096,69,11,1398
16,4096,69,12,4921
16,4096,69,13,23343
16,4096,69,14,12001
16,4096,69,15,17344
16,4096,69,16,7928
16,4096,69,17,8282
16,4096,69,18,10086
16,4096,69,19,9639
16,4096,69,20,1281
16,4096,69,21,19
16,4096,69,22,4483
16,4096,69,23,22961
16,4096,69,24,2200
16,4096,69,25,1852
16,4096,69,26,9657
16,4096,69,27,1741
16,4096,69,28,13089
16,4096,69,29,11576
16,4096,69,30,19254
16,4096,69,31,23934
16,4096,69,32,650
16,4096,69,33,5693
16,4096,69,34,17577
16,4096,70,0,5530
16,4096,70,1,9333
16,4096,70,2,1283
16,4096,70,3,4313
16,4096,70,4,4911
16,4096,70,5,4669
16,4096,70,6,733
16,4096,70,7,4542
16,4096,70,8,4550
16,4096,70,9,46738
16,4096,70,10,172
16,4096,70,11,9068
16,4096,70,12,15599
16,4096,70,13,2595
16,4096,70,14,7077
16,4096,70,15,23418
16,4096,70,16,5217
16,4096,70,17,7806
16,4096,70,18,4145
16,4096,70,19,10189
16,4096,70,20,4606
16,4096,70,21,2996
16,4096,70,22,7874
16,4096,70,23,5048
16,4096,70,24,13859
16,4096,70,25,1289
16,4096,70,26,2260
16,4096,70,27,341
16,4096,70,28,1291
16,4096,70,29,16590
16,4096,70,30,17300
16,4096,70,31,7995
16,4096,70,32,6096
16,4096,70,33,7742
16,4096,70,34,511
16,4096,71,0,6412
16,4096,71,1,90
16,4096,71,2,5746
16,4096,71,3,4608
16,4096,71,4,14158
16,4096,71,5,9599
16,4096,71,6,5230
16,4096,71,7,299
16,4096,71,8,863
16,4096,71,9,8692
16,4096,71,10,2334
16,4096,71,11,577
16,4096,71,12,632
16,4096,71,13,1804
16,4096,71,14,1178
16,4096,71,15,1948
16,4096,71,16,20131
16,4096,71,17,7770
16,4096,71,18,4566
16,4096,71,19,1343
16,4096,71,20,4528
16,4096,71,21,7805
16,4096,71,22,602
16,4096,71,23,6375
16,4096,71,24,1087
16,4096,71,25,956
16,4096,71,26,4666
16,4096,71,27,2727
16,4096,71,28,709
16,4096,71,29,270
16,4096,71,30,10536
16,4096,71,31,9401
16,4096,71,32,15743
16,4096,71,33,9876
16,4096,71,34,3793
18,5832,72,0,596
18,5832,72,1,543
18,5832,72,2,1887
18,5832,72,3,10350
18,5832,72,4,3543
18,5832,72,5,17423
18,5832,72,6,8477
18,5832,72,7,8142
18,5832,72,8,21471
18,5832,72,9,27120
18,5832,72,10,6992
18,5832,72,11,14346
18,5832,72,12,895
18,5832,72,13,5523
18,5832,72,14,2309
18,5832,72,15,13338
18,5832,72,16,5932
18,5832,72,17,12278
18,5832,72,18,1497
18,5832,72,19,20785
18,5832,72,20,19222
18,5832,72,21,4366
18,5832,72,22,2147
18,5832,72,23,8135
18,5832,72,24,14540
18,5832,72,25,10381
18,5832,72,26,17542
18,5832,72,27,1650
18,5832,72,28,3162
18,5832,72,29,16534
18,5832,72,30,4639
18,5832,72,31,22650
18,5832,72,32,6125
18,5832,72,33,6634
18,5832,72,34,7138
18,5832,73,0,11525
18,5832,73,1,570
18,5832,73,2,21646
18,5832,73,3,15628
18,5832,73,4,3829
18,5832,73,5,28599
18,5832,73,6,6447
18,5832,73,7,3936
18,5832,73,8,7450
18,5832,73,9,40990
18,5832,73,10,12716
18,5832,73,11,7665
18,5832,73,12,8066
18,5832,73,13,159
18,5832,73,14,3998
18,5832,73,15,41
18,5832,73,16,978
18,5832,73,17,6014
18,5832,73,18,15042
18,5832,73,19,44355
18,5832,73,20,42363
18,5832,73,21,16211
18,5832,73,22,15757
18,5832,73,23,2969
18,5832,73,24,11340
18,5832,73,25,18504
18,5832,73,26,13668
18,5832,73,27,10190
18,5832,73,28,5880
18,5832,73,29,1416
18,5832,73,30,37835
18,5832,73,31,65811
18,5832,73,32,15888
18,5832,73,33,1251
18,5832,73,34,5524
18,5832,74,0,1324
18,5832,74,1,8883
18,5832,74,2,12440
18,5832,74,3,17407
18,5832,74,4,21866
18,5832,74,5,72
18,5832,74,6,2144
18,5832,74,7,6840
18,5832,74,8,2057
18,5832,74,9,8728
18,5832,74,10,1114
18,5832,74,11,5446
18,5832,74,12,2920
18,5832,74,13,14305
18,5832,74,14,8657
18,5832,74,15,890
18,5832,74,16,28916
18,5832,74,17,1640
18,5832,74,18,17090
18,5832,74,19,19904
18,5832,74,20,6959
18,5832,74,21,11423
18,5832,74,22,10801
18,5832,74,23,11930
18,5832,74,24,3597
18,5832,74,25,4396
18,5832,74,26,10789
18,5832,74,27,960
18,5832,74,28,11215
18,5832,74,29,2116
18,5832,74,30,9076
18,5832,74,31,3165
18,5832,74,32,16470
18,5832,74,33,3850
18,5832,74,34,2652
18,5832,75,0,12031
18,5832,75,1,9772
18,5832,75,2,23805
18,5832,75,3,5229
18,5832,75,4,4632
18,5832,75,5,5369
18,5832,75,6,24295
18,5832,75,7,13292
18,5832,75,8,39498
18,5832,75,9,12022
18,5832,75,10,3012
18,5832,75,11,3431
18,5832,75,12,1033
18,5832,75,13,9130
18,5832,75,14,35689
18,5832,75,15,5642
18,5832,75,16,5379
18,5832,75,17,948
18,5832,75,18,3664
18,5832,75,19,3234
18,5832,75,20,17793
18,5832,75,21,2999
18,5832,75,22,16215
18,5832,75,23,5157
18,5832,75,24,4052
18,5832,75,25,2756
18,5832,75,26,250
18,5832,75,27,14704
18,5832,75,28,2956
18,5832,75,29,1595
18,5832,75,30,1414
18,5832,75,31,768
18,5832,75,32,12758
18,5832,75,33,4181
18,5832,75,34,17140
18,5832,76,0,4068
18,5832,76,1,373
18,5832,76,2,18210
18,5832,76,3,11785
18,5832,76,4,6390
18,5832,76,5,6408
18,5832,76,6,9202
18,5832,76,7,12770
18,5832,76,8,4382
18,5832,76,9,7112
18,5832,76,10,9300
18,5832,76,11,29616
18,5832,76,12,141
18,5832,76,13,1980
18,5832,76,14,17044
18,5832,76,15,1292
18,5832,76,16,1522
18,5832,76,17,7931
18,5832,76,18,34060
18,5832,76,19,8781
18,5832,76,20,12362
18,5832,76,21,5913
18,5832,76,22,8326
18,5832,76,23,7627
18,5832,76,24,32516
18,5832,76,25,17324
18,5832,76,26,5466
18,5832,76,27,10621
18,5832,76,28,41727
18,5832,76,29,6551
18,5832,76,30,22174
18,5832,76,31,6509
18,5832,76,32,32069
18,5832,76,33,5482
