frequency_Hz,S_baseline,S_active,suppression_pct
98230616.27928518,1.0038692600667937e-19,9.9140271576008e-20,1.2418493924083562
103453446.96276823,9.78449942072947e-20,9.665400670330043e-20,1.2172186361123827
108953970.70551862,9.536621391932872e-20,9.422867805419286e-20,1.1928080379683625
114746952.1897249,9.294910619635335e-20,9.186288058299745e-20,1.168624054395162
120847941.12202193,9.059222000296712e-20,8.955523544709001e-20,1.1446728602557021
127273313.97251196,8.829413221201983e-20,8.730438999937125e-20,1.1209603490659248
134040317.93301098,8.605344755227614e-20,8.510901773477327e-20,1.0974921335128784
141167117.21251434,8.386879851108177e-20,8.296781819509888e-20,1.0742735462745956
148672841.79414684,8.173884519628236e-20,8.087951683618196e-20,1.0513096411343459
156577638.78447995,7.966227516134349e-20,7.884286486107097e-20,1.0286051943820707
164902726.49303916,7.763780319734568e-20,7.685663902267638e-20,1.006164706494439
173670451.38717195,7.566417109525785e-20,7.491964139906595e-20,0.9839924040859094
182904348.075149,7.374014738164817e-20,7.303069914436013e-20,0.9620922421218259
192629202.47851858,7.1864527030753e-20,7.118866421795316e-20,0.9404679063853227
202871118.36326903,7.003613115561117e-20,6.9392413094584e-20,0.9191228161888443
