L,N,seed,walk,first_passage_time
7,343,60,5,762
7,343,60,6,6103
7,343,60,7,754
7,343,60,8,12933
7,343,60,9,3086
7,343,60,10,4901
7,343,60,11,22812
7,343,60,12,6152
7,343,60,13,990
7,343,60,14,2277
7,343,60,15,6935
7,343,60,16,9751
7,343,60,17,1329
7,343,60,18,15521
7,343,60,19,3134
7,343,60,20,2503
7,343,60,21,520
7,343,60,22,10090
7,343,60,23,666
7,343,60,24,704
7,343,60,25,1983
7,343,60,26,10956
7,343,60,27,1930
7,343,60,28,2220
7,343,60,29,1004
7,343,60,30,6551
7,343,60,31,4340
7,343,60,32,7810
7,343,60,33,4186
7,343,60,34,4554
7,343,60,35,5600
7,343,60,36,10311
7,343,60,37,428
7,343,60,38,5580
7,343,60,39,5988
7,343,60,40,1188
7,343,60,41,2090
7,343,60,42,246
7,343,60,43,6009
7,343,60,44,5365
7,343,60,45,1027
7,343,60,46,2392
7,343,60,47,4491
7,343,60,48,3149
7,343,60,49,9435
7,343,61,0,5526
7,343,61,1,11954
7,343,61,2,3281
7,343,61,3,2287
7,343,61,4,4587
7,343,61,5,812
7,343,61,6,3555
7,343,61,7,1401
7,343,61,8,3027
7,343,61,9,3323
7,343,61,10,19494
7,343,61,11,340
7,343,61,12,2091
7,343,61,13,3013
7,343,61,14,3820
7,343,61,15,2332
7,343,61,16,3270
7,343,61,17,1271
7,343,61,18,1424
7,343,61,19,2235
7,343,61,20,1255
7,343,61,21,9633
7,343,61,22,10552
7,343,61,23,2203
7,343,61,24,7022
7,343,61,25,5313
7,343,61,26,1064
7,343,61,27,4125
7,343,61,28,3125
7,343,61,29,7478
7,343,61,30,9536
7,343,61,31,3273
7,343,61,32,3513
7,343,61,33,3377
7,343,61,34,4799
7,343,61,35,5513
7,343,61,36,3364
7,343,61,37,692
7,343,61,38,11359
7,343,61,39,3247
7,343,61,40,760
7,343,61,41,2465
7,343,61,42,4750
7,343,61,43,1445
7,343,61,44,4136
7,343,61,45,1872
7,343,61,46,543
7,343,61,47,12100
7,343,61,48,813
7,343,61,49,16146
7,343,62,0,11440
