time,weak_pulse,strong_pulse
0.17354338584646165,-0.32831295498412094,-0.7222899958373035
0.17404351087771944,-0.33449275528770794,-0.7358855571044496
0.17454363590897726,-0.3407415429174922,-0.7496328904494746
0.17504376094023508,-0.34705947752167515,-0.7635323470985665
0.1755438859714929,-0.3534467145823076,-0.7775842691123829
0.17604401100275072,-0.35990340541824706,-0.791788989392556
0.1765441360340085,-0.36642969718824453,-0.8061468316884846
0.17704426106526633,-0.37302573289415986,-0.8206581106044071
0.17754438609652415,-0.3796916513843058,-0.8353231316067584
0.17804451112778197,-0.3864275873569194,-0.8501421910318081
0.1785446361590398,-0.3932336713637617,-0.8651155760935778
0.17904476119029758,-0.40011002981384347,-0.8802435648920398
0.1795448862215554,-0.40705678497727804,-0.895526426421592
0.18004501125281322,-0.4140740549892601,-0.9109644205798115
0.18054513628407104,-0.42116195385416966,-0.926557798176484
0.18104526131532886,-0.42832059144980156,-0.9423068009429079
0.18154538634658668,-0.4355500735317195,-0.9582116615414731
0.18204551137784447,-0.44285050173773366,-0.9742726035755127
0.1825456364091023,-0.4502219735925029,-0.9904898415994267
0.1830457614403601,-0.45766458251225905,-1.0068635811290763
0.18354588647161793,-0.46517841780965485,-1.0233940186524484
0.18404601150287575,-0.47276356469873326,-1.0400813416405894
0.18454613653413354,-0.480420104300019,-1.0569257285588058
0.18504626156539136,-0.4881481136457311,-1.0739273488781316
0.18554638659664918,-0.49594766568511595,-1.0910863630870615
0.186046511627907,-0.5038188292899011,-1.108402922703549
0.18654663665916482,-0.511761669259868,-1.1258771702872667
0.1870467616904226,-0.5197762463285447,-1.14350923945213
0.18754688672168043,-0.527862617169017,-1.1612992548790808
0.18804701175293825,-0.536020834399857,-1.1792473323291326
0.18854713678419607,-0.5442509465911715,-1.1973535786566738
0.1890472618154539,-0.5525529982707644,-1.2156180918230286
0.18954738684671169,-0.5609270299304192,-1.2340409609102752
0.1900475118779695,-0.5693730780322952,-1.2526222661353188
