t,g
2.214428857715431,2.341347759379175
2.234468937875751,2.341456267564341
2.254509018036072,2.3415647359743796
2.2745490981963927,2.341673164576909
2.2945891783567127,2.341781553339619
2.3146292585170336,2.341889902230273
2.3346693386773545,2.3419982112167044
2.3547094188376754,2.3421064802668217
2.3747494989979954,2.342214709348603
2.3947895791583163,2.3423228984301017
2.414829659318637,2.34243104747944
2.434869739478958,2.3425391564648144
2.454909819639278,2.3426472253544937
2.474949899799599,2.3427552541168186
2.49498997995992,2.342863242720202
2.5150300601202398,2.3429711911331297
2.5350701402805607,2.343079099324158
2.5551102204408815,2.3431869672619174
2.5751503006012024,2.34329479491511
2.5951903807615224,2.3434025822525104
2.6152304609218433,2.343510329242964
2.635270541082164,2.3436180358553913
2.655310621242485,2.3437257020587827
2.675350701402805,2.3438333278222014
2.695390781563126,2.343940913114783
2.715430861723447,2.344048457905736
2.735470941883767,2.34415596216434
2.7555110220440877,2.344263425859948
2.7755511022044086,2.3443708489619848
2.7955911823647295,2.344478231439947
2.8156312625250495,2.344585573263404
2.8356713426853704,2.3446928744019977
2.8557114228456912,2.3448001348254417
2.875751503006012,2.344907354503522
2.895791583166332,2.3450145334060974
2.915831663326653,2.3451216715030982
2.935871743486974,2.3452287687645277
2.955911823647294,2.3453358251604604
2.9759519038076148,2.345442840661044
2.9959919839679356,2.345549815236499
3.0160320641282556,2.3456567488571163
3.0360721442885765,2.345763641493261
3.0561122244488974,2.345870493115369
3.0761523046092183,2.34597730369395
3.096192384769539,2.346084073199584
3.11623246492986,2.346190801602925
3.136272545090179,2.346297488874699
3.1563126252505,2.3464041349857028
3.176352705410821,2.3465107399068073
3.196392785571142,2.346617303608955
3.2164328657314627,2.3467238260631604
3.2364729458917836,2.34683030724051
3.2565130260521045,2.3469367471121645
3.2765531062124253,2.3470431456493537
3.2965931863727445,2.3471495028233824
3.3166332665330653,2.3472558186056265
3.336673346693386,2.347362092967534
3.356713426853707,2.347468325880626
3.376753507014028,2.3475745173164952
3.396793587174349,2.3476806672468062
