time_s,delta_signal,theta_signal,alpha_signal,beta_signal,gamma_signal
1.681,0.28940398342960905,0.1015131236785537,0.2894294222687601,0.3334238632647629,0.24687587852672926
1.682,0.038699157279235966,0.2687991543870016,0.4662873623348559,0.4482828733664475,0.5767645128746187
1.683,0.11206187482809714,0.08700179127332865,0.23203567293879107,0.6041726134336526,0.4388062667295439
1.684,0.11111118080210691,0.17471728238667456,0.3018089201054779,0.6454264841196936,0.32995540272538326
1.685,0.09775728348283345,0.3497037484014983,0.5207032094407389,0.5674195397594519,0.3166183114417304
1.686,0.06894527410461448,-0.17384346219062538,0.18647450161604873,0.5203059972109189,0.42142386669520504
1.687,0.0857030287263017,0.11869829340023079,0.3617381668960141,0.6463692504557562,0.2624381959143909
1.688,0.06205312528118195,0.18789398023958992,0.25076938877266597,0.4939782835696034,0.11232421521045625
1.689,-0.009127975093603947,0.23862548019373214,0.3820822691553197,0.6015052195806624,-0.059795783694984325
1.69,0.10151269498332649,0.3298400111327353,0.33581234859023645,0.6941556390013598,-0.12068216597794998
1.691,0.05062094449360861,0.3274861008128569,0.5265674487282003,0.6146316060458767,-0.27837851596679125
1.692,0.16738198989881528,-0.09236221904377168,0.476514535559317,0.4746938361504063,-0.5525147645780649
1.693,0.04813932440577407,0.23980309300363697,0.43382731684395925,0.5289186153079887,-0.5797120487455518
1.694,0.10909111202497127,0.3099711047695142,0.4091167166225801,0.3586681086203181,-0.6253104098961864
1.695,0.10395164736662518,0.3198797820374986,0.32433961659045596,0.3763063105402544,-0.734825433285236
1.696,-0.016529128268991167,0.07497034086101828,0.5381606833010707,0.25734723835139633,-0.7304544397484842
1.697,-0.04570252465064576,0.5235882281415322,0.45999575551486777,0.13467958642114636,-0.5731360208578016
1.698,0.15126297975927358,0.2702117220697211,0.3662806974218387,-0.02294166896661498,-0.15086168903344616
1.699,-0.09092040268817789,0.0337856648053077,0.3847229984617309,-0.21979124932739252,0.05191688002649872
1.7,0.010399670193025672,0.26290130422352126,0.4404579166564613,-0.14681034313484556,0.609374567125883
1.701,0.058165287199222274,0.4233007428486486,0.3632797669948975,-0.2302957833157112,0.8916762807817287
1.702,-0.08050696808103706,0.25557660582815145,0.4432061676031824,-0.42655712911436305,0.9345270991659397
1.703,-0.09843824588034603,0.41132704783868534,0.22173790076267427,-0.3467905557254125,0.8717247764565059
1.704,0.01480890956731563,0.27148593294140433,0.2760993087702487,-0.5388738654603034,0.6107265470100454
1.705,0.06626912543664035,0.31943740571199897,0.40285198900317964,-0.6341411853285394,0.46157772269710795
1.706,-0.06080296683739557,0.334564933248448,0.6018773554701904,-0.71111334445762,0.11770327058915085
1.707,0.22705041003224116,0.4034714718627549,0.26498009443788156,-0.685257180871779,-0.21963051884680657
1.708,0.20061935836795344,0.3095260080824515,0.23389801406344318,-0.6359471930101178,-0.49058812342336944
1.709,0.13638023747477673,0.3705682161246157,0.12132389535650587,-0.8101987416280456,-0.6040250103656127
1.71,0.07487962517280375,0.4984744658377346,0.24490856130850022,-0.7539807593907751,-0.5827270785329159
1.711,-0.06807512898504506,0.6073707350305291,0.36700211363515906,-0.7201606655219411,-0.6312743006418089
1.712,-0.06416984616622944,0.5629106669463482,0.0491529803354096,-0.6550221391663344,-0.33585442966474893
1.713,0.22471938136664726,0.45335230949218785,0.2406652213881344,-0.7258476779604436,-0.5111055078743005
1.714,0.19053560355660196,0.43685097785873944,0.07380968163107615,-0.48768852046965216,-0.17716420139594208
1.715,0.08367551853800598,0.30492820015941313,-0.08513957596303579,-0.5908818226916986,0.04971728106026249
1.716,0.19837122137787633,0.40821736365009864,-0.25378793498376145,-0.5721594243377639,0.03177778823633254
1.717,0.13724442098087397,0.45725232445825564,0.0866202816978387,-0.2181289158941663,-0.037796658108159034
1.718,-0.09677227924224205,0.3232925082176109,-0.09714064823719046,-0.23596470060955207,0.2809637702742156
1.719,0.017160065599768286,0.3733292133258197,-0.128921812645958,-0.08028710387770682,0.14858687271109552
1.72,0.010481540184115764,0.5441614750657582,-0.08864501013742827,0.016124787490442688,0.12020585946346413
1.721,-0.1766455547267176,0.6600050964153611,-0.16098362152710016,0.047745886555894415,0.1886827405863951
1.722,-0.04181801103122171,0.378740648161011,-0.12548753840652738,0.07475961369575596,0.3486810148799115
1.723,-0.09626062329071793,0.548338886737499,-0.15469815789331667,0.2498694015296751,0.3576849690965273
1.724,0.1510469660405168,0.5439748679748776,-0.3010121689711369,0.2797693847901429,0.3865024442667083
1.725,0.1056441926093746,0.2963000044365094,-0.1890970302967419,0.29880257366802626,0.12607741210725457
